CDT Code,Full Description,Short Description,Category,Standard Fee ($),PPO Fee ($)
D7962,lingual frenectomy (frenulectomy),,Surgery,500.0,400.0
D7963,frenuloplasty,,Surgery,500.0,400.0
D7970,excision of hyperplastic tissue - per arch,,Surgery,500.0,400.0
D7971,excision of pericoronal gingiva,,Surgery,500.0,400.0
D7972,surgical reduction of fibrous tuberosity,,Surgery,500.0,400.0
D7979,non – surgical sialolithotomy,,Surgery,500.0,400.0
D7980,surgical sialolithotomy,,Surgery,500.0,400.0
D7981,"excision of salivary gland, by report",,Surgery,500.0,400.0
D7982,sialodochoplasty,,Surgery,500.0,400.0
D7983,closure of salivary fistula,,Surgery,500.0,400.0
D7990,emergency tracheotomy,,Surgery,500.0,400.0
D7991,coronoidectomy,,Surgery,500.0,400.0
D7993,surgical placement of craniofacial implant – extra oral,,Surgery,500.0,400.0
D7994,surgical placement: zygomatic implant,,Surgery,500.0,400.0
D7995,"synthetic graft - mandible or facial bones, by report",,Surgery,500.0,400.0
D7996,"implant-mandible for augmentation purposes (excluding alveolar ridge), by report",,Surgery,500.0,400.0
D7997,"appliance removal (not by dentist who placed appliance), includes removal of archbar",,Surgery,500.0,400.0
D7998,intraoral placement of a fixation device not in conjunction with a fracture,,Surgery,500.0,400.0
D7999,"unspecified oral surgery procedure, by report",,Surgery,500.0,400.0
D8010,limited orthodontic treatment of the primary dentition,,Ortho,2500.0,2000.0
D8020,limited orthodontic treatment of the transitional dentition,,Ortho,2500.0,2000.0
D8030,limited orthodontic treatment of the adolescent dentition,,Ortho,2500.0,2000.0
D8040,limited orthodontic treatment of the adult dentition,,Ortho,2500.0,2000.0
D8050,interceptive orthodontic treatment of the primary dentition,,Ortho,2500.0,2000.0
D8060,interceptive orthodontic treatment of the transitional dentition,,Ortho,2500.0,2000.0
D8070,comprehensive orthodontic treatment of the transitional dentition,,Ortho,6500.0,5200.0
D8080,comprehensive orthodontic treatment of the adolescent dentition,Comp Braces Child,Ortho,5500.0,4400.0
D8090,comprehensive orthodontic treatment of the adult dentition,Comp Braces Adult,Ortho,6500.0,5200.0
D8210,removable appliance therapy,,Ortho,500.0,400.0
D8220,fixed appliance therapy,,Ortho,500.0,400.0
D8660,pre-orthodontic treatment examination to monitor growth and development,,Ortho,500.0,400.0
D8670,periodic orthodontic treatment visit,,Ortho,500.0,400.0
D8680,"orthodontic retention (removal of appliances, construction and placement of retainer(s))",,Ortho,500.0,400.0
D8681,removable orthodontic retainer adjustment,,Ortho,500.0,400.0
D8690,orthodontic treatment (alternative billing to a contract fee),,Ortho,500.0,400.0
D8695,removal of fixed orthodontic appliances for reasons other than completion of treatment,,Ortho,500.0,400.0
D8696,repair of orthodontic appliance – maxillary,,Ortho,500.0,400.0
D8697,repair of orthodontic appliance – mandibular,,Ortho,500.0,400.0
D8698,re-cement or re-bond fixed retainer – maxillary,,Ortho,500.0,400.0
D8699,re-cement or re-bond fixed retainer – mandibular,,Ortho,500.0,400.0
D8701,"repair of fixed retainer, includes reattachment – maxillary",,Ortho,500.0,400.0
D8702,"repair of fixed retainer, includes reattachment – mandibular",,Ortho,500.0,400.0
D8703,replacement of lost or broken retainer – maxillary,,Ortho,500.0,400.0
D8704,replacement of lost or broken retainer – mandibular,,Ortho,500.0,400.0
D8999,"unspecified orthodontic procedure, by report",,Ortho,500.0,400.0
D9110,palliative (emergency) treatment of dental pain - minor procedure,Palliative,Adjunct,110.0,88.0
D9120,fixed partial denture sectioning,,Adjunct,100.0,80.0
D9130,temporomandibular joint dysfunction – non-invasive physical therapies,,Adjunct,100.0,80.0
D9210,local anesthesia not in conjunction with operative or surgical procedures,,Adjunct,100.0,80.0
D9211,regional block anesthesia,,Adjunct,100.0,80.0
D9212,trigeminal division block anesthesia,,Adjunct,100.0,80.0
D9215,local anesthesia in conjunction with operative or surgical procedures,,Adjunct,100.0,80.0
D9219,"evaluation for moderate sedation, deep sedation or general anesthesia",,Adjunct,175.0,140.0
D9222,deep sedation/general anesthesia – first 15 minutes,,Adjunct,175.0,140.0
D9223,deep sedation/general anesthesia – each subsequent 15 minute increment,IV Sedation 15m,Adjunct,175.0,140.0
D9230,"inhalation of nitrous oxide/analgesia, anxiolysis",Nitrous Oxide,Adjunct,85.0,68.0
D9239,intravenous moderate  (conscious) sedation/analgesia- first 15 minutes,,Adjunct,175.0,140.0
D9243,intravenous moderate (conscious) sedation/analgesia – each subsequent 15 minute increment,,Adjunct,175.0,140.0
D9248,non-intravenous conscious sedation,,Adjunct,175.0,140.0
D9310,consultation - diagnostic service provided by dentist or physician other than requesting dentist or physician,,Adjunct,100.0,80.0
D9311,consultation with a medical health care professional,,Adjunct,100.0,80.0
D9410,house/extended care facility call,,Adjunct,100.0,80.0
D9420,hospital or ambulatory surgical center call,,Adjunct,100.0,80.0
D9430,office visit for observation (during regularly scheduled hours) - no other services performed,,Adjunct,100.0,80.0
D9440,office visit - after regularly scheduled hours,,Adjunct,100.0,80.0
D9450,"case presentation, detailed and extensive treatment planning",,Adjunct,100.0,80.0
D9610,"therapeutic parenteral drug, single administration",,Adjunct,100.0,80.0
D9612,"therapeutic parenteral drugs, two or more administrations, different medications",,Adjunct,100.0,80.0
D9613,infiltration of sustained release therapeutic drug – single or multiple sites,,Adjunct,100.0,80.0
D9630,drugs or medicaments dispensed in the office for home use,,Adjunct,100.0,80.0
D9910,application of desensitizing medicament,,Adjunct,100.0,80.0
D9911,"application of desensitizing resin for cervical and/or root surface, per tooth",,Adjunct,100.0,80.0
D9920,"behavior management, by report",,Adjunct,100.0,80.0
D9930,"treatment of complications (post-surgical) - unusual circumstances, by report",,Adjunct,100.0,80.0
D9932,"cleaning and inspection of removable complete denture, maxillary",,Adjunct,100.0,80.0
D9933,"cleaning and inspection of removable complete denture, mandibular",,Adjunct,100.0,80.0
D9934,"cleaning and inspection of removable partial denture, maxillary",,Adjunct,100.0,80.0
D9935,"cleaning and inspection of removable partial denture, mandibular",,Adjunct,100.0,80.0
D9941,fabrication of athletic mouthguard,,Adjunct,100.0,80.0
D9942,repair and/or reline of occlusal guard,,Adjunct,550.0,440.0
D9943,occlusal guard adjustment,,Adjunct,550.0,440.0
D9944,"occlusal guard – hard appliance, full arch",Occl Guard Hard,Adjunct,550.0,440.0
D9945,"occlusal guard – soft appliance, full arch",,Adjunct,550.0,440.0
D9946,"occlusal guard – hard appliance, partial arch",,Adjunct,550.0,440.0
D9950,occlusion analysis - mounted case,,Adjunct,100.0,80.0
D9951,occlusal adjustment - limited,,Adjunct,100.0,80.0
D9952,occlusal adjustment - complete,,Adjunct,100.0,80.0
D9961,duplicate/copy patient's records,,Adjunct,100.0,80.0
D9970,enamel microabrasion,,Adjunct,100.0,80.0
D9971,odontoplasty - per tooth,,Adjunct,100.0,80.0
D9972,external bleaching - per arch - performed in office,,Adjunct,250.0,200.0
D9973,external bleaching - per tooth,,Adjunct,250.0,200.0
D9974,internal bleaching - per tooth,,Adjunct,250.0,200.0
D9975,"external bleaching for home application, per arch; includes materials and fabrication of custom trays",Bleach Tray,Adjunct,250.0,200.0
D9985,sales tax,,Adjunct,100.0,80.0
D9986,missed appointment,,Adjunct,100.0,80.0
D9987,cancelled appointment,,Adjunct,100.0,80.0
D9990,certified translation or sign-language services – per visit,,Adjunct,100.0,80.0
D9991,dental case management - addressing appointment compliance barriers,,Adjunct,100.0,80.0
D9992,dental case management - care coordination,,Adjunct,100.0,80.0
D9993,dental case management - motivational interviewing,,Adjunct,100.0,80.0
D9994,dental case management - patient education to improve oral health literacy,,Adjunct,100.0,80.0
D9995,teledentistry – synchronous; real-time encounter,,Adjunct,100.0,80.0
D9996,teledentistry – asynchronous; information stored and forwarded to dentist for subsequent review,,Adjunct,100.0,80.0
D9997,dental case management - patients with special health care needs,,Adjunct,100.0,80.0
D9999,"unspecified adjunctive procedure, by report",,Adjunct,100.0,80.0
